"Lower Bound","Upper Bound","Value"
"0.0","","0.019563986203383666"
"1.0","4.0","0.010389651211334373"
"5.0","9.0","0.01848296794094044"
"10.0","19.0","0.043100447961887334"
"20.0","29.0","0.04349573862370051"
"30.0","39.0","0.04099945172524358"
"40.0","49.0","0.03804487113091634"
"50.0","59.0","0.035124380206118015"
"60.0","69.0","0.03233604239601615"
"70.0","79.0","0.030348230720829563"
"80.0","89.0","0.02836705738130031"
"90.0","99.0","0.026351819553780218"
"100.0","124.0","0.060328881735890155"
"125.0","149.0","0.05165612793213431"
"150.0","174.0","0.0454953100426674"
"175.0","199.0","0.04071200760533466"
"200.0","224.0","0.034613627645296914"
"225.0","249.0","0.03305986684706784"
"250.0","274.0","0.028444400635342308"
"275.0","299.0","0.02685483459689853"
"300.0","324.0","0.023119814352663425"
"325.0","349.0","0.022719678500741698"
"350.0","374.0","0.020364980398712543"
"375.0","399.0","0.018871325085910568"
"400.0","424.0","0.016238040885108444"
"425.0","449.0","0.015803171474723272"
"450.0","474.0","0.01435758877427354"
"475.0","499.0","0.014774767805652938"
"500.0","549.0","0.022819958927535113"
"550.0","599.0","0.022092488480743765"
"600.0","649.0","0.01725260727533926"
"650.0","699.0","0.01424274879517606"
"700.0","749.0","0.013312326804848111"
"750.0","799.0","0.013462972912520845"
"800.0","849.0","0.009361215727515254"
"850.0","899.0","0.007129670959628375"
"900.0","949.0","0.006187766782230033"
"950.0","999.0","0.0080221865250324"
"1000.0","1499.0","0.02638654996937393"
"1500.0","1999.0","0.004652902612614936"
"2000.0","2499.0","9.200877263734517E-4"
"2500.0","2999.0","9.858700647049518E-5"
"3000.0","3999.0","3.845167716306984E-5"
"4000.0","4999.0","4.081954016326658E-7"
"5000.0","5999.0","2.4561359264481086E-10"
"6000.0","6999.0","2.5505631679158728E-12"
"7000.0","7999.0","0.0"
"8000.0","8999.0","0.0"
"9000.0","10000.0","0.0"
